State,City,Zipcode,Store Number,URL,mintemp_f,maxtemp_f,avgtemp_f,totalprecip_in,avghumidity,condition,icon,DMA
Florida,Southside,32256,226,https://www.homedepot.com/l/Southside/FL/Jacksonville/32256/226,79.5,88.7,86.3,0.0,66.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Spring Hill,34606,281,https://www.homedepot.com/l/Spring-Hill/FL/Spring-Hill/34606/281,78.3,91.4,86.3,0.03,67.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,St Augustine,32084,6334,https://www.homedepot.com/l/St-Augustine/FL/Saint-Augustine/32084/6334,77.9,87.4,85.0,0.0,69.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,St Cloud West,34769,6350,https://www.homedepot.com/l/St-Cloud-West/FL/Saint-Cloud/34769/6350,75.0,91.4,86.5,0.01,73.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,St Johns,32259,1324,https://www.homedepot.com/l/St-Johns/FL/Saint-Johns/32259/1324,77.9,93.4,89.1,0.0,66.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,St Pete,33713,257,https://www.homedepot.com/l/St-Pete/FL/Saint-Petersburg/33713/257,81.7,90.9,86.9,0.1,65.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Stadium,33607,256,https://www.homedepot.com/l/Stadium/FL/Tampa/33607/256,80.1,92.5,87.8,0.03,62.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Stuart,34994,6314,https://www.homedepot.com/l/Stuart/FL/Stuart/34994/6314,79.5,86.5,84.8,0.11,75.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Sun City,33573,6951,https://www.homedepot.com/l/Sun-City/FL/Ruskin/33573/6951,77.0,90.9,86.1,0.03,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Sunrise,33322,258,https://www.homedepot.com/l/Sunrise/FL/Sunrise/33322/258,84.9,91.8,89.4,0.0,59.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Tallahassee,32308,254,https://www.homedepot.com/l/Tallahassee/FL/Tallahassee/32308/254,72.5,95.4,88.4,0.05,69.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Titusville,32780,6871,https://www.homedepot.com/l/Titusville/FL/Titusville/32780/6871,76.1,90.3,86.3,0.07,74.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Venice,34293,273,https://www.homedepot.com/l/Venice/FL/Venice/34293/273,79.3,89.6,85.5,0.17,69.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Florida,Vero Beach,32966,213,https://www.homedepot.com/l/Vero-Beach/FL/Vero-Beach/32966/213,79.3,86.4,84.6,0.15,76.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,W Colonial,32818,261,https://www.homedepot.com/l/W-Colonial/FL/Orlando/32818/261,79.5,95.4,89.7,0.15,57.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,W Griffin,33331,6326,https://www.homedepot.com/l/W-Griffin/FL/Davie/33331/6326,84.7,91.2,88.9,0.0,60.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,W Kendall,33196,6339,https://www.homedepot.com/l/W-Kendall/FL/Miami/33196/6339,82.9,90.7,88.3,0.14,66.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,W Palm Beach,33411,6330,https://www.homedepot.com/l/W-Palm-Beach/FL/West-Palm-Beach/33411/6330,82.0,91.6,89.2,0.06,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,W St Petersburg,33710,6364,https://www.homedepot.com/l/W-St-Petersburg/FL/Saint-Petersburg/33710/6364,82.6,90.1,86.7,0.15,65.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,W Tallahassee,32303,6374,https://www.homedepot.com/l/W-Tallahassee/FL/Tallahassee/32303/6374,72.5,95.4,88.4,0.05,69.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,West Dade,33165,206,https://www.homedepot.com/l/West-Dade/FL/Miami/33165/206,83.8,90.5,88.3,0.09,64.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,West Delray,33446,6325,https://www.homedepot.com/l/West-Delray/FL/Delray-Beach/33446/6325,83.3,88.2,86.8,0.0,67.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,West Port St Lucie,34986,6376,https://www.homedepot.com/l/West-Port-St-Lucie/FL/Port-Saint-Lucie/34986/6376,79.5,87.4,85.2,0.16,75.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Winter Haven,33881,6371,https://www.homedepot.com/l/Winter-Haven/FL/Winter-Haven/33881/6371,74.7,90.7,86.2,0.0,69.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Winter Park,32810,6349,https://www.homedepot.com/l/Winter-Park/FL/Orlando/32810/6349,78.6,94.5,89.3,0.0,60.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Yulee,32097,6921,https://www.homedepot.com/l/Yulee/FL/Yulee/32097/6921,77.4,88.7,85.8,0.0,68.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Zephyrhills,33545,8929,https://www.homedepot.com/l/Zephyrhills/FL/Zephyrhills/33545/8929,75.9,91.6,86.4,0.2,70.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,SE
Georgia,Acworth,30101,156,https://www.homedepot.com/l/Acworth/GA/Acworth/30101/156,77.9,97.5,89.5,0.17,57.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Georgia,"Albany, GA",31707,155,https://www.homedepot.com/l/Albany-GA/GA/Albany/31707/155,73.8,92.7,87.0,0.13,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Georgia,Alpharetta,30004,149,https://www.homedepot.com/l/Alpharetta/GA/Alpharetta/30004/149,78.3,94.8,88.8,0.19,57.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Georgia,Athens,30606,129,https://www.homedepot.com/l/Athens/GA/Athens/30606/129,72.9,92.7,86.5,0.19,69.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Georgia,Augusta,30907,119,https://www.homedepot.com/l/Augusta/GA/Augusta/30907/119,79.3,95.2,90.0,0.0,53.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,SE
